GroupNumber,timeT,peakT,Isp
1,0.330508474576271,248.2773993,1.01775129334474
3,0.330508474576271,254.56718238,1.05691378440367
4,0.330508474576271,193.79115252,1.07264136176333
5,0.330508474576271,244.6965822,0.98305428144923
6,0.329297820823245,202.62531744,0.959675086741305
7,0.325665859564165,240.17274246,0.998887807235785
8,0.326876513317191,276.17218692,1.03794297747888
9,0.325060532687651,263.27234892,1.05026922606645
10,0.326876513317191,287.63524986,1.07524780285596
11,0.323244552058111,272.21771934,1.20882983019748
12,0.329297820823245,281.78584056,1.03382745749754
13,0.326271186440678,230.32438338,0.895396505520137
14,0.329903147699758,273.57887466,1.09787451670295
15,0.329903147699758,253.69533126,1.08666031488105
17,0.330508474576271,261.13720332,1.10279027668066
18,0.329903147699758,238.3356276,0.605977928873167
19,0.317191283292978,243.56673432,0.92896431578811
20,0.320217917675545,263.29459002,1.1095969141528
21,0.330508474576271,242.68153854,1.12917829692116
22,0.329297820823245,264.41998968,0.802012024983155
23,0.330508474576271,237.89970204,1.37650913546364
24,0.330508474576271,311.43767508,1.29267291380293
25,0.330508474576271,321.12145002,1.33775314601151
26,0.330508474576271,290.24190678,1.23282275724356
27,0.327481840193705,322.25574612,1.35468417124086
28,0.329903147699758,315.65013942,1.356192701174
29,0.330508474576271,239.16299652,1.27522518413414
30,0.329903147699758,266.72861586,1.37836803629555
31,0.329903147699758,298.94707332,1.18336913317006
32,0.330508474576271,282.18173214,1.38676719390453
33,0.330508474576271,335.2845825,1.22595532294096
34,0.329903147699758,339.27018762,1.26483180814285
