%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82251.592,300.977,0.952,10.193,49.457,-0.272,42.116,44.772,45.92,47.364,46.936,43.877,43.11,43.439,45.411,46.137,49.02,42.665,48.79,47.205,46.302,45.459,0.005,-0.038,0.223,0,535.048,336.269
82247.56,300.977,0.952,10.193,49.457,-0.112,41.683,44.772,46.776,46.528,47.477,43.669,43.324,43.224,45.299,46.763,48.597,42.878,49.628,46.891,46.198,44.67,0.005,-0.057,0.223,0.001,535.048,336.269
82243.529,300.973,0.952,10.185,49.378,-0.112,42.224,43.32,46.348,47.364,46.504,43.773,43.324,43.439,45.411,46.346,48.914,42.452,49.209,47.205,45.576,44.782,-0.016,-0.057,0.223,0,535.048,336.269
82255.623,300.972,0.952,10.184,49.378,-0.112,41.575,43.655,46.455,46.946,47.369,43.357,42.683,43.439,44.74,46.555,49.126,42.878,49.314,46.787,45.783,43.316,-0.006,-0.057,0.202,0,535.048,336.269
82243.529,300.973,0.952,10.193,49.457,-0.272,41.25,44.66,45.813,46.737,46.396,43.565,42.469,42.688,45.747,45.615,48.914,42.452,49.209,46.996,45.576,44.106,0.005,-0.019,0.223,0.001,535.048,336.269
82251.592,300.972,0.952,10.177,49.299,0.368,41.033,43.432,45.92,45.9,46.612,43.461,42.682,42.688,44.628,46.555,47.963,42.133,48.685,46.368,45.576,43.88,-0.016,-0.038,0.233,-0.001,535.048,336.269
82243.529,300.973,0.952,10.193,49.457,-0.112,41.575,43.097,45.599,46.109,45.963,43.149,42.468,42.473,44.517,46.346,48.492,41.814,48.685,46.682,44.641,44.218,-0.006,-0.019,0.223,0,535.048,336.269
82251.592,300.972,0.952,10.193,49.457,-0.272,41.033,42.986,44.529,46.214,46.396,42.525,42.468,42.688,44.51,45.824,48.069,41.92,48.267,46.054,44.953,43.654,-0.006,-0.057,0.223,-0.001,535.048,336.269
82247.56,300.975,0.952,10.209,49.615,-0.112,41.466,43.767,45.599,46.109,45.747,43.357,41.72,42.581,44.621,45.198,47.858,42.026,48.999,45.949,45.472,43.993,0.015,-0.057,0.223,0,535.048,336.269
82251.592,300.97,0.952,10.201,49.536,0.048,40.6,43.879,45.706,46.423,46.828,42.837,42.789,42.795,44.957,45.928,47.752,42.346,48.581,46.787,45.368,43.993,-0.016,-0.057,0.223,0,535.048,336.269
82251.592,300.973,0.952,10.209,49.615,-0.112,41.683,43.209,46.027,46.632,45.855,43.461,42.682,42.903,45.069,46.346,48.703,41.494,48.79,47.31,45.472,44.782,0.005,0,0.223,0,535.048,336.269
82255.623,300.975,0.952,10.201,49.536,-0.432,41.25,44.214,45.492,46.737,47.153,42.837,43.003,43.117,44.957,46.241,48.597,42.558,48.79,47.415,45.264,44.218,0.005,-0.038,0.223,0,535.048,336.269
82251.592,300.972,0.952,10.201,49.536,-0.112,41.358,44.102,45.813,45.9,46.612,43.773,42.254,42.795,45.069,46.554,48.914,42.133,49.209,46.054,45.264,44.331,-0.006,-0.038,0.233,0.001,535.048,336.269
82247.56,300.973,0.952,10.209,49.615,0.048,41.142,43.655,45.813,46.632,45.963,43.253,42.682,42.152,44.845,46.033,48.069,42.239,48.79,46.891,44.953,44.331,0.005,-0.019,0.213,0,535.048,336.269
82239.498,300.972,0.952,10.234,49.852,-0.112,41.575,42.539,45.599,46.423,46.396,43.045,42.575,43.546,44.286,45.615,48.28,41.282,49.314,46.368,45.679,44.331,-0.006,-0.019,0.213,0,535.048,336.269
82251.592,300.97,0.952,10.209,49.615,-0.112,41.142,43.879,45.171,46.423,46.72,42.837,42.682,42.795,45.181,45.615,48.386,42.133,47.848,46.891,45.264,44.444,-0.006,0,0.202,-0.001,535.048,336.269
82251.592,300.973,0.952,10.225,49.773,-0.272,41.142,43.767,45.813,45.691,47.045,43.253,42.468,43.01,45.069,45.928,48.492,42.239,48.79,45.949,45.264,44.106,-0.016,-0.038,0.213,0,535.048,336.269
82247.56,300.972,0.952,10.209,49.615,0.208,41.142,43.432,45.706,46.632,45.747,43.149,42.789,41.83,44.957,46.033,48.28,41.282,48.581,46.473,44.434,44.557,0.005,-0.057,0.213,0,535.048,336.269
82251.592,300.973,0.952,10.225,49.773,0.048,41.358,42.204,45.706,46.214,46.612,43.149,42.468,42.903,44.286,45.928,48.175,41.601,48.685,46.263,45.368,43.429,-0.006,-0.038,0.223,0,535.048,336.269
82247.56,300.994,0.952,14.976,106.753,-0.112,97.007,98.365,101.581,102.152,101.659,98.982,98.202,98.461,99.882,101.773,104.484,97.459,104.176,102.245,100.613,99.83,0.036,-0.057,0.456,0,535.048,336.269
82247.56,300.994,0.952,14.976,106.753,-0.112,97.224,99.146,101.046,101.733,101.767,98.254,98.63,98.569,99.994,101.773,103.956,97.991,103.548,102.14,101.132,99.604,0.015,-0.057,0.446,0,535.048,336.269
82247.56,300.993,0.952,14.965,106.595,-0.112,97.657,99.481,101.795,102.256,102.092,98.462,97.667,98.569,100.33,101.355,103.639,97.565,104.176,101.826,101.029,98.927,0.036,-0.057,0.477,0,535.048,336.269
82247.56,300.994,0.952,14.965,106.595,-0.272,95.816,97.918,100.403,101.001,101.227,98.151,97.667,97.711,99.882,101.146,103.11,96.927,103.129,101.826,99.783,99.266,0.005,-0.057,0.446,0,535.048,336.269
82239.498,300.994,0.952,14.96,106.516,0.048,96.033,98.03,100.296,100.897,101.011,97.631,97.239,97.496,99.211,100.938,103.427,96.501,103.443,101.512,100.613,99.153,0.015,-0.077,0.446,-0.001,535.048,336.269
82247.56,300.99,0.952,14.959,106.516,-0.272,96.033,98.699,100.189,101.942,101.227,97.943,97.56,98.14,100.441,101.042,104.061,97.139,103.024,101.931,100.406,99.04,0.005,-0.077,0.446,0.001,535.048,336.269
82251.592,300.991,0.952,14.948,106.358,-0.272,96.358,98.699,101.367,101.21,101.876,98.982,97.453,98.461,100.33,101.46,103.533,97.778,104.176,100.884,101.132,99.153,-0.006,-0.038,0.456,0,535.048,336.269
82247.56,300.993,0.952,14.937,106.2,-0.112,96.466,99.369,100.724,102.256,101.876,98.67,98.416,97.496,100.218,101.355,103.744,97.352,104.176,102.454,100.717,99.942,0.026,-0.057,0.436,0,535.048,336.269
82247.56,300.991,0.952,14.954,106.437,-0.112,97.007,98.699,101.902,102.57,102.309,99.19,98.523,98.568,99.979,101.668,104.273,97.778,104.909,102.663,101.444,99.604,0.026,-0.057,0.436,0,535.048,336.269
82239.498,300.993,0.952,14.949,106.358,0.048,96.899,98.811,100.831,101.733,102.525,98.774,98.63,98.568,101.321,101.042,103.639,97.565,104.071,102.245,100.925,99.942,0.005,-0.077,0.446,0,535.048,336.269
82247.56,300.991,0.952,14.943,106.279,0.048,96.358,98.923,101.26,101.315,102.309,98.254,97.667,97.603,99.867,101.564,103.111,97.139,103.966,101.198,100.821,98.927,0.005,-0.057,0.446,0,535.048,336.269
82251.592,300.99,0.952,14.937,106.2,0.048,96.141,98.141,101.26,102.151,101.768,98.566,98.202,98.139,99.755,101.46,103.428,96.927,103.548,101.721,99.575,98.25,0.015,-0.019,0.436,0.001,535.048,336.269
82251.592,300.991,0.952,14.931,106.121,-0.112,96.249,97.695,100.082,101.106,100.578,97.735,97.025,97.281,98.637,100.311,102.583,96.501,103.339,100.989,99.575,98.025,0.026,-0.057,0.446,0,535.048,336.269
82243.529,300.993,0.952,14.938,106.2,-0.112,95.383,97.918,99.333,100.688,100.254,97.423,97.239,97.496,99.42,99.476,102.9,96.501,103.129,100.9,99.783,98.589,0.005,-0.057,0.456,0.001,535.048,336.269
82243.529,300.994,0.952,14.932,106.121,0.048,95.925,97.248,100.082,99.956,101.011,97.631,97.132,96.96,98.413,100.833,102.16,96.501,103.129,100.272,99.456,98.589,0.015,-0.038,0.436,0,535.048,336.269
82239.498,300.991,0.952,14.932,106.121,-0.432,95.492,97.025,99.975,100.478,100.037,96.903,96.597,96.96,98.86,100.416,102.583,95.756,102.711,100.69,98.834,98.138,0.015,-0.057,0.446,0,535.048,336.269
82251.592,300.994,0.952,14.931,106.121,-0.112,94.951,97.025,99.333,100.478,100.362,96.695,96.383,96.745,98.413,100.207,102.583,96.075,102.397,100.481,98.834,97.123,0.036,-0.057,0.436,0,535.048,336.269
82243.529,300.991,0.952,14.927,106.042,-0.112,94.734,97.248,99.333,99.851,99.713,97.319,96.276,97.067,98.413,99.163,102.477,96.182,102.397,100.272,99.041,98.138,0.015,-0.038,0.436,0,535.048,336.269
82255.623,300.99,0.952,14.925,106.042,-0.432,94.409,97.359,99.654,100.165,100.362,96.695,97.132,96.102,98.749,99.894,101.209,95.756,102.292,100.167,98.418,97.235,-0.006,-0.077,0.436,0,535.048,336.269
82243.529,300.994,0.952,14.91,105.805,-0.112,95.6,96.801,99.654,100.478,100.146,97.111,96.704,96.852,98.972,99.685,102.688,95.543,102.397,100.795,99.145,98.476,0.015,-0.057,0.456,0,535.048,336.269
82247.56,301.002,0.952,20.123,192.737,-0.112,175.826,177.637,180.363,181.406,181.365,177.274,177.256,177.296,178.737,180.269,182.451,176.405,182.387,180.343,180.018,177.438,0.015,-0.077,0.802,0.001,535.048,336.269
82247.56,301.002,0.952,20.136,192.975,-0.112,174.744,177.19,178.864,180.569,180.284,177.171,177.363,178.046,179.632,180.478,182.768,176.83,183.329,181.18,180.018,179.13,0.015,-0.057,0.802,0,535.048,336.269
82239.498,301.004,0.952,20.141,193.054,-0.112,174.852,178.641,180.362,180.36,181.365,177.898,177.791,177.939,179.856,181.521,182.874,177.362,184.062,181.18,180.745,179.355,0.015,-0.057,0.792,-0.001,535.048,336.269
82251.592,301.002,0.952,20.148,193.212,-0.272,176.693,177.301,180.469,180.777,180.176,178.106,177.363,177.51,179.744,181.104,183.402,177.256,183.538,180.761,179.395,179.017,0.026,-0.038,0.812,0,535.048,336.269
82259.655,301.002,0.952,20.142,193.133,-0.112,175.502,177.86,179.399,181.091,181.257,176.651,176.828,176.652,179.073,180.478,182.874,176.724,182.701,181.18,179.811,177.551,0.005,-0.096,0.761,0,535.048,336.269
82251.592,301.004,0.952,20.152,193.291,-0.112,175.718,177.636,179.827,180.464,180.716,177.897,176.935,178.154,179.52,180.373,183.93,177.043,184.376,181.389,180.434,179.13,0.005,-0.038,0.782,0,535.048,336.269
82243.529,301.002,0.952,20.149,193.212,-0.112,175.068,177.078,180.362,179.523,180.067,177.273,177.148,176.33,178.29,179.538,180.972,175.66,181.968,179.715,178.565,177.551,0.005,-0.057,0.771,0,535.048,336.269
82255.623,301.002,0.952,20.155,193.37,-0.112,174.311,176.408,178.756,179.523,179.527,176.442,176.506,176.651,178.514,180.269,182.768,175.873,182.282,180.343,179.188,177.212,0.015,-0.077,0.782,-0.001,535.048,336.269
82243.529,301.004,0.952,20.161,193.449,-0.112,174.744,176.855,179.399,179.209,179.527,175.61,175.757,175.793,178.038,178.39,181.606,174.809,181.235,178.982,177.734,176.197,-0.006,-0.077,0.771,0,535.048,336.269
82247.56,301.001,0.952,20.156,193.37,-0.112,174.094,176.52,178.435,179.418,179.418,176.962,175.008,176.651,178.038,179.329,181.817,176.086,182.491,180.971,179.188,178.791,0.005,-0.057,0.782,-0.001,535.048,336.269
82247.56,301.002,0.952,20.16,193.449,0.208,174.744,178.194,179.72,180.464,180.284,177.169,176.72,175.793,178.598,179.955,182.028,175.766,182.806,180.657,179.188,177.889,-0.016,-0.077,0.771,0,535.048,336.269
82251.592,301.006,0.952,20.16,193.449,0.208,175.502,177.86,179.827,180.568,180.5,177.585,177.041,177.616,178.709,180.059,183.191,175.66,183.12,181.808,180.122,179.694,-0.006,-0.057,0.792,0,535.048,336.269
82247.56,301.002,0.952,20.156,193.37,-0.272,176.259,178.864,180.576,181.614,181.69,177.793,178.645,178.153,180.163,181.208,183.507,177.575,183.015,181.913,180.537,179.468,-0.016,-0.077,0.782,0,535.048,336.269
82251.592,301.004,0.952,20.16,193.449,0.368,176.259,178.753,180.469,181.614,181.257,178.209,177.255,178.153,180.163,181.103,183.824,177.894,183.539,180.971,180.537,179.581,-0.016,-0.115,0.761,0.001,535.048,336.269
82255.623,301.004,0.952,20.16,193.449,0.208,176.476,178.641,181.111,181.823,181.473,178.105,178.217,177.831,180.163,181.103,183.824,177.894,184.062,182.645,181.264,180.032,0.015,-0.096,0.771,0,535.048,336.269
82255.623,301.006,0.952,20.164,193.528,0.208,176.693,179.088,181.432,181.928,181.581,178.521,178.111,178.796,179.828,181.834,183.296,176.937,183.015,180.761,180.018,178.002,-0.006,-0.057,0.771,0,535.048,336.269
82255.623,301.004,0.952,20.16,193.449,0.208,175.502,177.413,179.506,180.464,181.149,177.377,177.576,178.153,180.611,180.686,182.979,177.469,183.539,181.808,181.056,179.13,-0.006,-0.038,0.771,0.001,535.048,336.269
82251.592,301.004,0.952,20.152,193.291,0.208,176.584,178.753,181.646,181.3,182.23,178.521,177.576,177.831,179.828,181.625,182.662,177.256,183.225,180.552,180.018,179.468,-0.016,-0.096,0.782,0,535.048,336.269
82247.56,301.006,0.952,20.152,193.291,0.368,175.61,177.86,180.04,181.3,180.933,177.377,177.148,176.973,179.604,180.895,183.085,177.575,183.015,181.913,179.914,178.904,0.005,-0.038,0.761,0.001,535.048,336.269
82247.56,301.004,0.952,20.144,193.133,0.368,175.935,178.306,180.683,181.196,181.257,177.377,177.148,177.509,179.045,180.895,183.507,177.043,183.958,182.017,181.472,179.581,0.005,-0.077,0.771,0,535.048,336.269
82255.623,301.011,0.952,25.055,298.795,-0.272,282.143,285.267,287.188,287.111,287.565,283.845,284.335,283.478,285.777,287.259,289.53,283.863,289.851,288.524,287.095,285.839,0.015,-0.038,1.219,0,535.048,336.269
82251.592,301.014,0.952,25.062,298.954,-0.272,284.417,285.379,289.328,289.62,289.945,286.133,286.581,287.018,287.79,289.034,292.276,284.502,292.05,289.256,287.614,285.839,0.015,-0.038,1.229,0,535.048,336.269
82255.623,301.012,0.952,25.068,299.112,-0.272,283.876,286.831,288.9,289.934,289.728,286.549,286.688,286.16,288.349,287.885,291.431,285.672,290.584,289.78,288.029,286.629,0.015,-0.077,1.229,0,535.048,336.269
82251.592,301.014,0.952,25.069,299.112,-0.272,285.608,287.389,290.399,290.143,290.81,287.9,286.261,287.447,288.908,289.764,292.805,286.736,292.888,290.093,288.964,288.434,0.005,-0.057,1.229,0,535.048,336.269
82259.655,301.014,0.952,25.067,299.112,-0.272,284.525,287.389,289.328,290.143,289.513,286.341,285.619,285.409,287.79,289.138,291.643,286.204,291.84,290.303,288.445,287.418,0.026,-0.057,1.229,0,535.048,336.269
82255.623,301.011,0.952,25.075,299.27,-0.432,285.175,285.379,289.114,289.725,289.513,287.796,286.688,287.018,287.902,290.078,292.171,286.204,293.202,291.245,290.937,289.11,0.015,-0.057,1.229,0,535.048,336.269
82255.623,301.012,0.952,25.078,299.349,0.208,285.933,288.617,289.864,291.502,290.919,287.588,286.903,287.661,290.251,290.182,292.065,286.523,291.317,289.884,288.86,287.193,0.026,-0.038,1.208,-0.001,535.048,336.269
82259.655,301.012,0.952,25.077,299.349,-0.432,283.659,285.267,288.044,288.366,288.972,286.133,284.764,286.589,288.125,290.391,291.643,286.098,292.364,288.838,287.822,288.772,0.026,-0.038,1.219,0,535.048,336.269
82255.623,301.015,0.952,25.078,299.349,-0.432,283.442,286.161,288.151,289.829,289.405,286.237,285.299,284.658,287.858,288.825,290.692,285.672,291.736,290.617,290.106,287.644,0.036,-0.057,1.229,0,535.048,336.269
82251.592,301.011,0.952,25.078,299.349,-0.432,284.309,285.267,288.579,288.888,288.972,286.029,285.192,285.731,285.956,287.572,289.741,283.863,290.165,287.373,287.199,285.613,0.026,-0.057,1.208,0.001,535.048,336.269
82255.623,301.012,0.952,25.078,299.349,-0.432,281.494,284.821,284.833,287.634,286.917,284.157,284.015,285.087,286.739,287.259,290.317,284.289,290.689,289.047,288.652,286.967,0.036,-0.077,1.219,0,535.048,336.269
82251.592,301.011,0.952,25.078,299.349,-0.112,283.984,284.933,288.579,288.366,288.323,285.093,284.122,284.014,286.292,288.199,289.366,283.226,290.06,285.07,285.953,282.681,0.026,-0.038,1.219,0,535.048,336.269
82251.592,301.012,0.952,25.082,299.428,-0.432,279.978,282.253,283.655,284.811,283.781,281.142,280.913,281.226,283.049,285.485,287.253,280.672,286.877,286.431,284.395,284.824,0.015,-0.057,1.208,0,535.048,336.269
82251.592,301.011,0.952,25.078,299.349,-0.592,282.035,282.588,286.545,286.588,287.134,283.014,283.48,283.264,284.279,285.172,287.887,280.672,287.4,283.441,283.772,279.635,0.026,-0.057,1.208,0.001,535.048,336.269
82251.592,301.015,0.952,25.082,299.428,-0.112,276.946,279.238,279.909,282.092,281.618,278.231,278.131,278.866,281.371,281.831,285.14,279.715,285.411,284.592,284.147,282.793,0.026,-0.057,1.208,0.001,535.048,336.269
82255.623,301.012,0.952,25.085,299.507,-0.432,279.545,281.248,284.833,284.079,286.16,281.662,281.448,281.333,283.384,284.023,285.985,279.502,286.249,283.022,283.005,280.99,0.026,-0.057,1.219,0.001,535.048,336.269
82251.592,301.012,0.952,25.082,299.428,-0.112,278.788,280.801,282.906,284.183,283.348,280.518,281.02,280.582,283.161,283.815,287.042,279.821,286.877,285.429,283.109,282.908,0.026,-0.019,1.219,0,535.048,336.269
82251.592,301.014,0.952,25.089,299.586,-0.112,280.52,281.248,284.726,284.393,285.079,280.414,280.913,280.797,282.042,283.188,285.668,279.289,285.516,284.069,282.694,280.652,0.015,-0.019,1.219,0,535.048,336.269
82247.56,301.015,0.952,25.089,299.586,-0.432,278.463,282.588,283.227,285.229,285.511,281.766,281.127,281.44,284.279,283.606,287.253,281.311,287.296,285.953,284.874,283.359,0.026,-0.057,1.229,0,535.048,336.269
82251.592,301.015,0.952,25.089,299.586,0.208,281.278,283.146,286.01,285.646,285.836,282.91,283.159,281.869,284.279,285.693,286.83,281.736,286.982,285.115,282.798,283.246,0.005,-0.038,1.239,0,535.048,336.269
